gender,study level,UsedMachines,dept_ARCH,dept_BAUG,dept_BIOL,dept_BSSE,dept_CHAB,dept_ERDW,dept_GESS,dept_HEST,dept_INFK,dept_ITET,dept_MATH,dept_MATL,dept_MAVT,dept_MTEC,dept_None,dept_PHYS,dept_Project,dept_USYS
1.0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1.0,3.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,3.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,1.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1.0,-1.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1.0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1.0,0.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,3.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,0.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1.0,1.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1.0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,1.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.0,1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.0,0.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1.0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.0,1.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1.0,1.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,2.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,0.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1.0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,1.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,2.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1.0,0.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.0,2.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1.0,1.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.0,1.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.0,2.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1.0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1.0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,-1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,0.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,2.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1.0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,3.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,-1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,2.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.0,1.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,3.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1.0,1.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.0,2.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.0,1.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1.0,2.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,-1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1.0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,0.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,0.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.0,3.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1.0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,0.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.0,-1.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1.0,2.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,3.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,0.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1.0,0.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,-1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1.0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.0,1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,3.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1.0,2.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,1.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1.0,3.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,3.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,4.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.0,4.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1.0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,0.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1.0,0.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,2.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,3.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1.0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,2.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.0,0.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1.0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,1.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1.0,1.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,1.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.0,0.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1.0,0.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,2.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,-1.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1.0,1.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1.0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1.0,3.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.0,2.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,2.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,1.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,2.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1.0,0.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.0,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
